TICKER	6m	1y	5y	10y	STATUS
ABEV3	N/A	N/A	N/A	N/A	Not present in data base.
CRFB3	N/A	N/A	N/A	N/A	Not present in data base.
B3SA3	N/A	N/A	N/A	N/A	Not present in data base.
BPAC11	N/A	N/A	N/A	N/A	Not present in data base.
BBAS3	N/A	N/A	N/A	N/A	Not present in data base.
SANB11	N/A	N/A	N/A	N/A	Not present in data base.
BBDC3	N/A	N/A	N/A	N/A	Not present in data base.
BBSE3	N/A	N/A	N/A	N/A	Not present in data base.
BRFS3	N/A	N/A	N/A	N/A	Not present in data base.
CCRO3	N/A	N/A	N/A	N/A	Not present in data base.
ELET3	N/A	N/A	N/A	N/A	Not present in data base.
CIEL3	N/A	N/A	N/A	N/A	Not present in data base.
SBSP3	N/A	N/A	N/A	N/A	Not present in data base.
CSNA3	N/A	N/A	N/A	N/A	Not present in data base.
CSAN3	N/A	N/A	N/A	N/A	Not present in data base.
CPFE3	N/A	N/A	N/A	N/A	Not present in data base.
EMBR3	N/A	N/A	N/A	N/A	Not present in data base.
EGIE3	N/A	N/A	N/A	N/A	Not present in data base.
EQTL3	N/A	N/A	N/A	N/A	Not present in data base.
HYPE3	N/A	N/A	N/A	N/A	Not present in data base.
IRBR3	N/A	N/A	N/A	N/A	Not present in data base.
JBSS3	N/A	N/A	N/A	N/A	Not present in data base.
KLBN11	N/A	N/A	N/A	N/A	Not present in data base.
RENT3	N/A	N/A	N/A	N/A	Not present in data base.
LREN3	N/A	N/A	N/A	N/A	Not present in data base.
MDIA3	N/A	N/A	N/A	N/A	Not present in data base.
MGLU3	N/A	N/A	N/A	N/A	Not present in data base.
MULT3	N/A	N/A	N/A	N/A	Not present in data base.
NTCO3	N/A	N/A	N/A	N/A	Not present in data base.
PETR3	N/A	N/A	N/A	N/A	Not present in data base.
PSSA3	N/A	N/A	N/A	N/A	Not present in data base.
RADL3	N/A	N/A	N/A	N/A	Not present in data base.
RAIL3	N/A	N/A	N/A	N/A	Not present in data base.
SUZB3	N/A	N/A	N/A	N/A	Not present in data base.
UGPA3	N/A	N/A	N/A	N/A	Not present in data base.
VALE3	N/A	N/A	N/A	N/A	Not present in data base.
WEGE3	N/A	N/A	N/A	N/A	Not present in data base.
FEMSAUBD	N/A	N/A	N/A	N/A	Not present in data base.
GAPB	N/A	N/A	N/A	N/A	Not present in data base.
BIMBOA	N/A	N/A	N/A	N/A	Not present in data base.
532848	N/A	N/A	N/A	N/A	Not present in data base.
532810	N/A	N/A	N/A	N/A	Not present in data base.
500820	N/A	N/A	N/A	N/A	Not present in data base.
532493	N/A	N/A	N/A	N/A	Not present in data base.
500027	N/A	N/A	N/A	N/A	Not present in data base.
524804	N/A	N/A	N/A	N/A	Not present in data base.
532215	N/A	N/A	N/A	N/A	Not present in data base.
532977	N/A	N/A	N/A	N/A	Not present in data base.
532978	N/A	N/A	N/A	N/A	Not present in data base.
500043	N/A	N/A	N/A	N/A	Not present in data base.
509480	N/A	N/A	N/A	N/A	Not present in data base.
500103	N/A	N/A	N/A	N/A	Not present in data base.
532454	N/A	N/A	N/A	N/A	Not present in data base.
500530	N/A	N/A	N/A	N/A	Not present in data base.
500087	N/A	N/A	N/A	N/A	Not present in data base.
533278	N/A	N/A	N/A	N/A	Not present in data base.
500124	N/A	N/A	N/A	N/A	Not present in data base.
532927	N/A	N/A	N/A	N/A	Not present in data base.
532155	N/A	N/A	N/A	N/A	Not present in data base.
540743	N/A	N/A	N/A	N/A	Not present in data base.
532424	N/A	N/A	N/A	N/A	Not present in data base.
532482	N/A	N/A	N/A	N/A	Not present in data base.
517300	N/A	N/A	N/A	N/A	Not present in data base.
532281	N/A	N/A	N/A	N/A	Not present in data base.
500180	N/A	N/A	N/A	N/A	Not present in data base.
500182	N/A	N/A	N/A	N/A	Not present in data base.
500440	N/A	N/A	N/A	N/A	Not present in data base.
500696	N/A	N/A	N/A	N/A	Not present in data base.
532174	N/A	N/A	N/A	N/A	Not present in data base.
500209	N/A	N/A	N/A	N/A	Not present in data base.
500875	N/A	N/A	N/A	N/A	Not present in data base.
533155	N/A	N/A	N/A	N/A	Not present in data base.
535648	N/A	N/A	N/A	N/A	Not present in data base.
500247	N/A	N/A	N/A	N/A	Not present in data base.
500510	N/A	N/A	N/A	N/A	Not present in data base.
540005	N/A	N/A	N/A	N/A	Not present in data base.
500520	N/A	N/A	N/A	N/A	Not present in data base.
532500	N/A	N/A	N/A	N/A	Not present in data base.
500271	N/A	N/A	N/A	N/A	Not present in data base.
500790	N/A	N/A	N/A	N/A	Not present in data base.
500304	N/A	N/A	N/A	N/A	Not present in data base.
532555	N/A	N/A	N/A	N/A	Not present in data base.
500312	N/A	N/A	N/A	N/A	Not present in data base.
500302	N/A	N/A	N/A	N/A	Not present in data base.
532898	N/A	N/A	N/A	N/A	Not present in data base.
532955	N/A	N/A	N/A	N/A	Not present in data base.
500325	N/A	N/A	N/A	N/A	Not present in data base.
533206	N/A	N/A	N/A	N/A	Not present in data base.
500112	N/A	N/A	N/A	N/A	Not present in data base.
524715	N/A	N/A	N/A	N/A	Not present in data base.
532540	N/A	N/A	N/A	N/A	Not present in data base.
500570	N/A	N/A	N/A	N/A	Not present in data base.
500400	N/A	N/A	N/A	N/A	Not present in data base.
500470	N/A	N/A	N/A	N/A	Not present in data base.
532755	N/A	N/A	N/A	N/A	Not present in data base.
500114	N/A	N/A	N/A	N/A	Not present in data base.
532538	N/A	N/A	N/A	N/A	Not present in data base.
500295	N/A	N/A	N/A	N/A	Not present in data base.
507685	N/A	N/A	N/A	N/A	Not present in data base.
532648	N/A	N/A	N/A	N/A	Not present in data base.
ASML	-0.08621663723784356	0.3900682201568016	2.4146242925614945	5.479826308989912	Passed
BN	-0.027181597014355047	-0.05611409433297695	0.3956973232763938	1.5874262096535134	Failed
OR	-0.2876662415740571	0.18474078114110842	0.643478626371317	0	Failed
MC	0.16401221211776124	0.28780897528197746	0.20584236840626938	0	Failed
UCB	N/A	N/A	N/A	N/A	Not present in data base.
INS	N/A	N/A	N/A	N/A	Not present in data base.
VOW	N/A	N/A	N/A	N/A	Not present in data base.
2600	N/A	N/A	N/A	N/A	Not present in data base.
914	N/A	N/A	N/A	N/A	Not present in data base.
939	N/A	N/A	N/A	N/A	Not present in data base.
384	N/A	N/A	N/A	N/A	Not present in data base.
941	N/A	N/A	N/A	N/A	Not present in data base.
3311	N/A	N/A	N/A	N/A	Not present in data base.
267	N/A	N/A	N/A	N/A	Not present in data base.
902	N/A	N/A	N/A	N/A	Not present in data base.
3690	N/A	N/A	N/A	N/A	Not present in data base.
2318	N/A	N/A	N/A	N/A	Not present in data base.
700	N/A	N/A	N/A	N/A	Not present in data base.
9540	N/A	N/A	N/A	N/A	Not present in data base.
51910	N/A	N/A	N/A	N/A	Not present in data base.
3670	N/A	N/A	N/A	N/A	Not present in data base.
5930	N/A	N/A	N/A	N/A	Not present in data base.
AZN	-0.06185077833546006	0.24291618888196537	0.9715986852109629	2.706085742399006	Passed
AV	N/A	N/A	N/A	N/A	Not present in data base.
BHP	-0.022768884412176952	0.14487550107149896	1.0525777060146475	0.8765589938085088	Failed
BT.A	N/A	N/A	N/A	N/A	Not present in data base.
BNZL	N/A	N/A	N/A	N/A	Not present in data base.
CAR	-0.015211640211640162	0.017366053635483752	4.401451027811367	4.873767258382642	Failed
CCL	0.3627954779033915	0.9615384615384616	-0.767405146555807	-0.5050428888175527	Failed
CLIG	N/A	N/A	N/A	N/A	Not present in data base.
CPG	0.06058304448096335	0.08167490598723953	0.37543206117807176	-0.6832493339162425	Failed
DSCV	N/A	N/A	N/A	N/A	Not present in data base.
